"zip","sqft","price"
95838,836,59222
95823,1167,68212
95815,796,68880
95815,852,69307
95824,797,81900
95841,1122,89921
95842,1104,90895
95820,1177,91002
95670,941,94905
95673,1146,98937
95838,909,100309
95823,1289,106250
95815,871,106852
95822,1020,107502
95842,1022,108750
95842,1134,110700
95673,844,113263
95621,795,116250
95833,588,120000
95673,1356,121630
95621,1118,122000
95823,1329,122682
95660,1240,123000
95834,1601,124100
95660,901,125000
95843,1088,126640
95820,963,127281
95832,1119,129000
95827,1380,131200
95828,1248,132000
95758,1039,133000
95660,1152,134555
95827,1380,136500
95626,1116,138750
95758,1039,141000
95823,1418,146250
95660,1082,147308
95823,1472,148750
95828,1146,149593
95825,760,150000
95835,1304,152000
95822,1207,154000
95624,1056,156896
95843,1043,161250
95660,1587,161500
95833,1120,164000
95823,1580,165000
95823,1955,166357
95838,1656,166357
95823,1477,168000
95624,1188,170000
95828,1590,173000
95823,1463,174250
95828,1714,174313
95823,1185,178480
95632,1406,178760
95842,1943,179580
95826,1172,181000
95608,1152,181872
95823,1851,182587
95843,1215,182716
95632,1130,182750
95662,1603,183200
95632,1479,188741
95823,1420,189000
95826,1280,192067
95758,1586,194000
95843,1362,194818
95828,2162,195000
95823,1266,198000
95624,1715,199500
95630,1820,200000
95608,936,200000
95834,0,206000
95834,1511,208000
95823,1590,212864
95758,1596,221000
95835,1341,221000
95624,2136,223058
95624,1616,227887
95823,1478,231477
95670,1287,234697
95621,1277,235000
95833,1448,236000
95829,2235,236685
95655,2093,237800
95673,1193,240122
95757,2163,242638
95828,1269,244000
95833,0,244500
95828,958,244960
95624,2508,245918
95621,1305,250000
95758,1591,250000
95608,1326,250134
95757,1843,254200
95841,1921,254200
95758,2790,258000
95835,1541,260000
95820,1018,260014
95742,0,263500
95834,1672,265000
95726,1380,265000
95822,975,271742
95829,2372,273750
95822,1446,275086
95726,1284,280908
95832,3009,280987
95826,3612,282400
95758,2056,285000
95624,1993,287417
95757,1857,291000
95818,1126,292024
95827,2213,297000
95758,2494,297000
95757,1843,298000
95670,1520,299000
95835,2800,304037
95624,2309,311000
95827,2367,315537
95742,3516,320000
95742,0,320000
95826,1914,328360
95662,1690,334150
95757,2725,335750
95757,2354,335750
95833,0,339500
95630,2185,344250
95758,1801,346210
95823,1961,347029
95757,3134,347650
95823,1915,351300
95762,0,352000
95831,0,370000
95683,2734,370500
95693,2110,372000
95757,3164,375000
95835,3599,381300
95831,2054,381942
95843,1830,387731
95814,1627,391000
95757,3440,394470
95635,2846,395000
95624,2359,400186
95831,2052,415000
95757,3433,425000
95742,3615,430000
95624,0,445000
95630,2687,460000
95757,2724,461000
95757,3440,489332
95757,3508,510000
95630,2462,539000
95630,0,585000
95762,0,600000
95762,0,606238
95864,2325,660000
95762,0,830000
95621,795,69000
95817,1099,70000
95624,840,71000
95815,800,78000
95824,746,78400
95822,1067,80000
95815,1316,89000
95815,1337,90000
95824,868,90000
95824,924,92000
95820,610,93675
95683,0,97750
95815,1220,98000
95758,722,98000
95864,1643,99000
95758,722,100000
95632,1080,106716
95820,1039,111000
95660,1051,111000
95842,967,114800
95670,1098,120108
95824,1050,123225
95838,1110,123750
95660,888,125000
95822,1120,125000
95626,1080,126000
95660,957,129000
95838,952,134000
95838,1211,135000
95815,1264,135500
95833,1080,140000
95632,1266,140000
95628,994,142500
95834,1202,143500
95758,0,145000
95820,722,145000
95828,1448,145000
95828,1188,145000
95660,1183,146000
95822,1320,148500
95828,1117,149000
95828,1364,150000
95823,1310,150000
95758,1006,152000
95621,1104,156000
95825,810,156000
95624,1123,156000
95842,904,157788
95621,1156,161653
95820,1321,161829
95843,1392,165000
95823,1439,168000
95842,1159,169000
95670,1671,175000
95823,1740,176250
95823,1265,179000
95843,1007,180000
95758,1716,180400
95758,1685,182000
95670,1829,184500
95758,1555,185000
95608,1120,189000
95621,1137,194000
95826,1174,195000
95843,1393,200000
95682,0,201000
95648,0,202500
95828,1289,205000
95838,1799,205000
95667,0,205000
95823,1953,205000
95820,723,207000
95682,0,210000
95667,948,211500
95621,1578,215000
95610,1317,215000
95833,0,215500
95824,1360,222381
95825,0,225000
95833,1522,225000
95825,1751,225000
95624,1465,225000
95826,1605,228000
95673,1475,229665
95722,1216,230000
95628,1315,230000
95757,1567,230000
95835,1776,234000
95835,2187,235000
95822,1291,236250
95630,0,240000
95624,0,242000
95842,1503,245000
95828,2491,245000
95816,1269,245000
95835,0,250000
95662,1176,250000
95662,1456,250000
95678,1498,250000
95843,1574,255000
95610,2085,256054
95829,2170,257729
95758,1595,260000
95843,1567,261000
95648,0,261800
95822,1253,264469
95843,1768,265000
95835,0,270000
95835,2030,270000
95835,1531,270000
95834,0,270000
95624,1653,275000
95758,2056,275000
95624,2494,280000
95628,1450,286013
95834,2169,292000
95747,1440,292000
95628,1527,293993
95678,1401,294000
95838,1411,296769
95648,0,297500
95670,0,300000
95673,1284,300000
95632,2307,300000
95667,1329,300000
95835,1910,300500
95670,1981,305000
95747,0,306500
95835,0,312500
95648,0,315000
95823,2205,319789
95648,1449,330000
95630,1258,330000
95757,2575,331000
95820,539,334000
95670,2208,336000
95819,1108,339000
95630,1595,339000
95632,2159,345000
95667,2295,350000
95678,1838,356000
95823,1900,361745
95811,1718,361948
95757,3389,370000
95677,0,380000
95757,3260,385000
95682,2016,399000
95765,2607,402000
95757,2724,406026
95632,3746,420000
95742,0,425000
95683,3192,425000
95834,0,433500
95648,0,436746
95762,0,438700
95811,1247,445000
95630,2581,450000
95841,2068,460000
95762,0,460000
95624,3992,460000
95835,3397,465000
95835,3881,471750
95765,0,480000
95608,1598,484000
95667,1929,485000
95757,3070,495000
95678,0,500500
95603,0,504000
95762,0,541000
95693,0,560000
95829,3984,572500
95608,2222,582000
95661,3838,613401
95747,0,614000
95628,2846,680000
95819,2484,699000
95650,1624,839000
95842,840,40000
95825,484,48000
95815,970,61500
95817,623,62050
95820,932,65000
95838,796,65000
95820,834,68000
95820,834,68000
95841,924,77000
